Review_ID,Product_ID,Review_Text,Star_Rating,Cleaned_Review,Predicted_Sentiment,Confidence_Score
228,PROD_373,"Very disappointed, product looks nothing like the pictures<p>",2,"very disappointed, product looks nothing like the pictures",NEGATIVE,0.9996
229,PROD_114,<br>5 stars!! best purchase i made this year<br>,1,5 stars!! best purchase i made this year,POSITIVE,0.9995
230,PROD_813,"Poor quality, feels very cheap. Not worth it at all  ",1,"poor quality, feels very cheap. not worth it at all",NEGATIVE,0.9998
231,PROD_185,"Product is okay, nothing special but does the job",2,"product is okay, nothing special but does the job",POSITIVE,0.9979
232,PROD_244,"Complete scam, returned it immediately. 0 stars<p>",5,"complete scam, returned it immediately. 0 stars",NEGATIVE,0.796
233,PROD_493,"Horrible experience, packaging was damaged and product broken  ",3,"horrible experience, packaging was damaged and product broken",NEGATIVE,0.9998
234,PROD_210,Do not buy this!! total waste of time and money</p>,4,do not buy this!! total waste of time and money,NEGATIVE,0.9998
235,PROD_722,"Very bad quality, plastic feels cheap will break easily</p>",1,"very bad quality, plastic feels cheap will break easily",NEGATIVE,0.9997
236,PROD_524,"Disappointed with the product, not as described at all</p>",5,"disappointed with the product, not as described at all",NEGATIVE,0.9998
237,PROD_419," &nbsp; Outstanding quality, arrived on time and works perfectly &nbsp; ",2,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
238,PROD_976,"<br>Totally worth the price, very satisfied customer here<br>",5,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
239,PROD_536,"Neither good nor bad, just an okay product overall",5,"neither good nor bad, just an okay product overall",NEGATIVE,0.9634
240,PROD_723,<br>10/10 would buy again. customer service was also helpful<br>,4,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
241,PROD_545,"Product is okay, nothing special but does the job",1,"product is okay, nothing special but does the job",POSITIVE,0.9979
242,PROD_642,"<br>Great quality, fast shipping. Will buy again!!<br>",5,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
243,PROD_322,"Its fine i guess, works as expected nothing more",2,"its fine i guess, works as expected nothing more",POSITIVE,0.9946
244,PROD_103,Waste of money!! stopped working after one week&amp;,1,waste of money!! stopped working after one week,NEGATIVE,0.9998
245,PROD_673," &nbsp; Works perfectly fine, very happy with this purchase &amp; &nbsp; ",1,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
246,PROD_491,Arrived broken and customer support was useless 😤&amp;,2,arrived broken and customer support was useless,NEGATIVE,0.9998
247,PROD_744,"  
  I love this so much, exceeded my expectations completely  
  ",2,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
248,PROD_823,<br>Amazing value for money. Really impressed with the build quality<br>,1,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
249,PROD_658,Do not buy this!! total waste of time and money  ,1,do not buy this!! total waste of time and money,NEGATIVE,0.9998
250,PROD_649,"Very bad quality, plastic feels cheap will break easily  ",5,"very bad quality, plastic feels cheap will break easily",NEGATIVE,0.9997
251,PROD_967,"Disappointed with the product, not as described at all&amp;",5,"disappointed with the product, not as described at all",NEGATIVE,0.9998
252,PROD_789,"Stopped working after 3 days, very poor build quality<p>",2,"stopped working after 3 days, very poor build quality",NEGATIVE,0.9997
253,PROD_271,"Worst product i have ever bought, avoid at all costs</p>",2,"worst product i have ever bought, avoid at all costs",NEGATIVE,0.9998
254,PROD_695, &nbsp; Love the design and it works exactly as described &nbsp; ,1,love the design and it works exactly as described,POSITIVE,0.9999
255,PROD_884,   10/10 would buy again. customer service was also helpful   ,1,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
256,PROD_649,Terrible product!! broke after 2 days of use 😡  ,3,terrible product!! broke after 2 days of use,NEGATIVE,0.9997
257,PROD_680,"   Great quality, fast shipping. Will buy again!!   ",4,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
258,PROD_433,"Pretty average, does what it says in the description",5,"pretty average, does what it says in the description",NEGATIVE,0.9126
259,PROD_687,Waste of money!! stopped working after one week<p>,3,waste of money!! stopped working after one week,NEGATIVE,0.9998
260,PROD_419,"  
  Works perfectly fine, very happy with this purchase &amp;  
  ",4,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
261,PROD_939,"Product is okay, nothing special but does the job",3,"product is okay, nothing special but does the job",POSITIVE,0.9979
262,PROD_927,"Complete scam, returned it immediately. 0 stars</p>",3,"complete scam, returned it immediately. 0 stars",NEGATIVE,0.796
263,PROD_950,   Amazing value for money. Really impressed with the build quality   ,3,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
264,PROD_231,Do not buy this!! total waste of time and money</p>,1,do not buy this!! total waste of time and money,NEGATIVE,0.9998
265,PROD_188,"Not bad not great, somewhere in the middle i think",2,"not bad not great, somewhere in the middle i think",NEGATIVE,0.9925
266,PROD_394,It works but nothing to write home about really,3,it works but nothing to write home about really,NEGATIVE,0.9941
267,PROD_122,"Stopped working after 3 days, very poor build quality<p>",1,"stopped working after 3 days, very poor build quality",NEGATIVE,0.9997
268,PROD_602,"   Totally worth the price, very satisfied customer here   ",2,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
269,PROD_203,Terrible!! arrived late and was completely broken  ,3,terrible!! arrived late and was completely broken,NEGATIVE,0.9997
270,PROD_745,"Not recommended at all, save your money for something better</p>",3,"not recommended at all, save your money for something better",NEGATIVE,0.9997
271,PROD_653,Terrible product!! broke after 2 days of use 😡  ,4,terrible product!! broke after 2 days of use,NEGATIVE,0.9997
272,PROD_388,<b>Worst purchase ever</b> do not buy this garbage<p>,4,worst purchase ever do not buy this garbage,NEGATIVE,0.9995
273,PROD_519,"Very disappointed, product looks nothing like the pictures&amp;",5,"very disappointed, product looks nothing like the pictures",NEGATIVE,0.9996
274,PROD_510,   5 stars!! best purchase i made this year   ,1,5 stars!! best purchase i made this year,POSITIVE,0.9995
275,PROD_933," &nbsp; Works perfectly fine, very happy with this purchase &amp; &nbsp; ",2,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
276,PROD_964, &nbsp; Super fast delivery and product quality is top notch!! &nbsp; ,5,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
277,PROD_976,"  
  I love this so much, exceeded my expectations completely  
  ",4,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
278,PROD_747,   Amazing value for money. Really impressed with the build quality   ,5,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
279,PROD_943,"  
  Best product in this price range hands down 👍👍  
  ",5,best product in this price range hands down,NEGATIVE,0.6948
280,PROD_726,"Very bad quality, plastic feels cheap will break easily&amp;",3,"very bad quality, plastic feels cheap will break easily",NEGATIVE,0.9997
281,PROD_910,"Disappointed with the product, not as described at all</p>",3,"disappointed with the product, not as described at all",NEGATIVE,0.9998
282,PROD_353,"<br>Outstanding quality, arrived on time and works perfectly<br>",2,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
283,PROD_811," &nbsp; Totally worth the price, very satisfied customer here &nbsp; ",2,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
284,PROD_495,"Decent product, shipping was slow though",2,"decent product, shipping was slow though",NEGATIVE,0.988
285,PROD_309,"Not recommended at all, save your money for something better</p>",1,"not recommended at all, save your money for something better",NEGATIVE,0.9997
286,PROD_927,"  
  This product is absolutely amazing! Loved every bit of it 😍  
  ",3,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
287,PROD_455,"Okay product, will see how long it lasts",4,"okay product, will see how long it lasts",POSITIVE,0.8317
288,PROD_939,"Very disappointed, product looks nothing like the pictures<p>",2,"very disappointed, product looks nothing like the pictures",NEGATIVE,0.9996
289,PROD_477,Waste of money!! stopped working after one week&amp;,1,waste of money!! stopped working after one week,NEGATIVE,0.9998
290,PROD_561,"   Works perfectly fine, very happy with this purchase &amp;   ",1,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
291,PROD_506,"Product is okay, nothing special but does the job",1,"product is okay, nothing special but does the job",POSITIVE,0.9979
292,PROD_445,"   I love this so much, exceeded my expectations completely   ",4,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
293,PROD_100,   Amazing value for money. Really impressed with the build quality   ,3,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
294,PROD_530,Do not buy this!! total waste of time and money<p>,1,do not buy this!! total waste of time and money,NEGATIVE,0.9998
295,PROD_535,"Very bad quality, plastic feels cheap will break easily</p>",1,"very bad quality, plastic feels cheap will break easily",NEGATIVE,0.9997
296,PROD_902,"   Really good product, will definitely recommend to friends   ",4,"really good product, will definitely recommend to friends",POSITIVE,0.9999
297,PROD_905,"Stopped working after 3 days, very poor build quality&amp;",2,"stopped working after 3 days, very poor build quality",NEGATIVE,0.9997
298,PROD_517,"<br>Totally worth the price, very satisfied customer here<br>",3,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
299,PROD_975,<br>Love the design and it works exactly as described<br>,3,love the design and it works exactly as described,POSITIVE,0.9999
300,PROD_124,"  
  10/10 would buy again. customer service was also helpful  
  ",4,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
301,PROD_260,"  
  This product is absolutely amazing! Loved every bit of it 😍  
  ",1,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
302,PROD_761,<b>Worst purchase ever</b> do not buy this garbage&amp;,2,worst purchase ever do not buy this garbage,NEGATIVE,0.9995
303,PROD_148,   <p>Excellent product</p> highly recommended to everyone   ,1,excellent product highly recommended to everyone,POSITIVE,0.9998
304,PROD_788,"Decent product, shipping was slow though",4,"decent product, shipping was slow though",NEGATIVE,0.988
305,PROD_162,"  
  Works perfectly fine, very happy with this purchase &amp;  
  ",5,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
306,PROD_868,<br>Super fast delivery and product quality is top notch!!<br>,5,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
307,PROD_990,"<br>I love this so much, exceeded my expectations completely<br>",3,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
308,PROD_384, &nbsp; Amazing value for money. Really impressed with the build quality &nbsp; ,1,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
309,PROD_243, &nbsp; Best product in this price range hands down 👍👍 &nbsp; ,3,best product in this price range hands down,NEGATIVE,0.6948
310,PROD_470, &nbsp; Packaging was great and product works flawlessly &nbsp; ,2,packaging was great and product works flawlessly,POSITIVE,0.9999
311,PROD_212,"Disappointed with the product, not as described at all  ",2,"disappointed with the product, not as described at all",NEGATIVE,0.9998
312,PROD_930,"<br>Outstanding quality, arrived on time and works perfectly<br>",4,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
313,PROD_154,"   Totally worth the price, very satisfied customer here   ",3,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
314,PROD_977, &nbsp; Love the design and it works exactly as described &nbsp; ,2,love the design and it works exactly as described,POSITIVE,0.9999
315,PROD_154,<br>10/10 would buy again. customer service was also helpful<br>,4,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
316,PROD_490,It works but nothing to write home about really,5,it works but nothing to write home about really,NEGATIVE,0.9941
317,PROD_858,"   Great quality, fast shipping. Will buy again!!   ",3,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
318,PROD_866,<br><p>Excellent product</p> highly recommended to everyone<br>,5,excellent product highly recommended to everyone,POSITIVE,0.9998
319,PROD_338,Waste of money!! stopped working after one week<p>,5,waste of money!! stopped working after one week,NEGATIVE,0.9998
320,PROD_703,"   Works perfectly fine, very happy with this purchase &amp;   ",2,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
321,PROD_187,"Product is okay, nothing special but does the job",3,"product is okay, nothing special but does the job",POSITIVE,0.9979
322,PROD_599,"Average quality for the price, expected a bit more",5,"average quality for the price, expected a bit more",NEGATIVE,0.9857
323,PROD_834, &nbsp; Amazing value for money. Really impressed with the build quality &nbsp; ,2,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
324,PROD_772,<br>Best product in this price range hands down 👍👍<br>,5,best product in this price range hands down,NEGATIVE,0.6948
325,PROD_647,   Packaging was great and product works flawlessly   ,5,packaging was great and product works flawlessly,POSITIVE,0.9999
326,PROD_996," &nbsp; Really good product, will definitely recommend to friends &nbsp; ",5,"really good product, will definitely recommend to friends",POSITIVE,0.9999
327,PROD_485," &nbsp; Outstanding quality, arrived on time and works perfectly &nbsp; ",3,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
328,PROD_631,"Worst product i have ever bought, avoid at all costs  ",5,"worst product i have ever bought, avoid at all costs",NEGATIVE,0.9998
329,PROD_833,"  
  Love the design and it works exactly as described  
  ",1,love the design and it works exactly as described,POSITIVE,0.9999
330,PROD_966,"  
  10/10 would buy again. customer service was also helpful  
  ",4,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
331,PROD_463,"Product is okay, nothing special but does the job",1,"product is okay, nothing special but does the job",POSITIVE,0.9979
332,PROD_731,"Average quality for the price, expected a bit more",3,"average quality for the price, expected a bit more",NEGATIVE,0.9857
333,PROD_227,"Its fine i guess, works as expected nothing more",1,"its fine i guess, works as expected nothing more",POSITIVE,0.9946
334,PROD_625,   5 stars!! best purchase i made this year   ,1,5 stars!! best purchase i made this year,POSITIVE,0.9995
335,PROD_380,"Poor quality, feels very cheap. Not worth it at all<p>",1,"poor quality, feels very cheap. not worth it at all",NEGATIVE,0.9998
336,PROD_593,<br>Super fast delivery and product quality is top notch!!<br>,4,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
337,PROD_208,"   I love this so much, exceeded my expectations completely   ",2,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
338,PROD_937,<br>Amazing value for money. Really impressed with the build quality<br>,2,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
339,PROD_455,Do not buy this!! total waste of time and money</p>,1,do not buy this!! total waste of time and money,NEGATIVE,0.9998
340,PROD_776,   Packaging was great and product works flawlessly   ,1,packaging was great and product works flawlessly,POSITIVE,0.9999
341,PROD_698,"  
  Really good product, will definitely recommend to friends  
  ",5,"really good product, will definitely recommend to friends",POSITIVE,0.9999
342,PROD_126,"   Outstanding quality, arrived on time and works perfectly   ",1,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
343,PROD_267,"<br>Totally worth the price, very satisfied customer here<br>",2,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
344,PROD_920,Terrible!! arrived late and was completely broken<p>,2,terrible!! arrived late and was completely broken,NEGATIVE,0.9997
345,PROD_575,"Not bad not great, somewhere in the middle i think",2,"not bad not great, somewhere in the middle i think",NEGATIVE,0.9925
346,PROD_921, &nbsp; This product is absolutely amazing! Loved every bit of it 😍 &nbsp; ,3,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
347,PROD_391,"   Great quality, fast shipping. Will buy again!!   ",3,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
348,PROD_878,   <p>Excellent product</p> highly recommended to everyone   ,3,excellent product highly recommended to everyone,POSITIVE,0.9998
349,PROD_286,   5 stars!! best purchase i made this year   ,3,5 stars!! best purchase i made this year,POSITIVE,0.9995
350,PROD_154,Meets basic requirements but quality could be better,5,meets basic requirements but quality could be better,NEGATIVE,0.9616
351,PROD_647, &nbsp; Super fast delivery and product quality is top notch!! &nbsp; ,4,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
352,PROD_590,"  
  I love this so much, exceeded my expectations completely  
  ",1,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
353,PROD_581,   Amazing value for money. Really impressed with the build quality   ,1,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
354,PROD_172,Do not buy this!! total waste of time and money<p>,1,do not buy this!! total waste of time and money,NEGATIVE,0.9998
355,PROD_316,   Packaging was great and product works flawlessly   ,5,packaging was great and product works flawlessly,POSITIVE,0.9999
356,PROD_124,"Disappointed with the product, not as described at all</p>",3,"disappointed with the product, not as described at all",NEGATIVE,0.9998
357,PROD_328,"Okay product, will see how long it lasts",4,"okay product, will see how long it lasts",POSITIVE,0.8317
358,PROD_201,"Worst product i have ever bought, avoid at all costs</p>",2,"worst product i have ever bought, avoid at all costs",NEGATIVE,0.9998
359,PROD_143,   Love the design and it works exactly as described   ,3,love the design and it works exactly as described,POSITIVE,0.9999
360,PROD_116,Meets basic requirements but quality could be better,2,meets basic requirements but quality could be better,NEGATIVE,0.9616
361,PROD_914,Terrible product!! broke after 2 days of use 😡<p>,4,terrible product!! broke after 2 days of use,NEGATIVE,0.9997
362,PROD_438,<b>Worst purchase ever</b> do not buy this garbage  ,5,worst purchase ever do not buy this garbage,NEGATIVE,0.9995
363,PROD_473,"Very disappointed, product looks nothing like the pictures<p>",1,"very disappointed, product looks nothing like the pictures",NEGATIVE,0.9996
364,PROD_367,"Decent product, shipping was slow though",3,"decent product, shipping was slow though",NEGATIVE,0.988
365,PROD_976,"Not bad not great, somewhere in the middle i think",2,"not bad not great, somewhere in the middle i think",NEGATIVE,0.9925
366,PROD_115, &nbsp; Super fast delivery and product quality is top notch!! &nbsp; ,1,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
367,PROD_185,"   I love this so much, exceeded my expectations completely   ",2,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
368,PROD_728,<br>Amazing value for money. Really impressed with the build quality<br>,1,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
369,PROD_597,"  
  Best product in this price range hands down 👍👍  
  ",3,best product in this price range hands down,NEGATIVE,0.6948
370,PROD_693,Meets basic requirements but quality could be better,4,meets basic requirements but quality could be better,NEGATIVE,0.9616
371,PROD_501,"Product is okay, nothing special but does the job",3,"product is okay, nothing special but does the job",POSITIVE,0.9979
372,PROD_372,"Average quality for the price, expected a bit more",3,"average quality for the price, expected a bit more",NEGATIVE,0.9857
373,PROD_197,"Worst product i have ever bought, avoid at all costs<p>",3,"worst product i have ever bought, avoid at all costs",NEGATIVE,0.9998
374,PROD_282,Terrible!! arrived late and was completely broken  ,4,terrible!! arrived late and was completely broken,NEGATIVE,0.9997
375,PROD_596,"Not recommended at all, save your money for something better  ",4,"not recommended at all, save your money for something better",NEGATIVE,0.9997
376,PROD_496,Terrible product!! broke after 2 days of use 😡<p>,2,terrible product!! broke after 2 days of use,NEGATIVE,0.9997
377,PROD_525,<b>Worst purchase ever</b> do not buy this garbage<p>,4,worst purchase ever do not buy this garbage,NEGATIVE,0.9995
378,PROD_838,<br><p>Excellent product</p> highly recommended to everyone<br>,2,excellent product highly recommended to everyone,POSITIVE,0.9998
379,PROD_350,"Neither good nor bad, just an okay product overall",5,"neither good nor bad, just an okay product overall",NEGATIVE,0.9634
380,PROD_707,"Poor quality, feels very cheap. Not worth it at all  ",3,"poor quality, feels very cheap. not worth it at all",NEGATIVE,0.9998
381,PROD_128, &nbsp; Super fast delivery and product quality is top notch!! &nbsp; ,1,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
382,PROD_847,"   I love this so much, exceeded my expectations completely   ",1,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
383,PROD_338,"Horrible experience, packaging was damaged and product broken  ",1,"horrible experience, packaging was damaged and product broken",NEGATIVE,0.9998
384,PROD_458,Do not buy this!! total waste of time and money<p>,4,do not buy this!! total waste of time and money,NEGATIVE,0.9998
385,PROD_788,"Very bad quality, plastic feels cheap will break easily</p>",3,"very bad quality, plastic feels cheap will break easily",NEGATIVE,0.9997
386,PROD_769,"  
  Really good product, will definitely recommend to friends  
  ",2,"really good product, will definitely recommend to friends",POSITIVE,0.9999
387,PROD_392," &nbsp; Outstanding quality, arrived on time and works perfectly &nbsp; ",1,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
388,PROD_684,"   Totally worth the price, very satisfied customer here   ",1,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
389,PROD_239,"  
  Love the design and it works exactly as described  
  ",3,love the design and it works exactly as described,POSITIVE,0.9999
390,PROD_160,Meets basic requirements but quality could be better,5,meets basic requirements but quality could be better,NEGATIVE,0.9616
391,PROD_906, &nbsp; This product is absolutely amazing! Loved every bit of it 😍 &nbsp; ,3,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
392,PROD_325,"Average quality for the price, expected a bit more",1,"average quality for the price, expected a bit more",NEGATIVE,0.9857
393,PROD_670,"Very disappointed, product looks nothing like the pictures  ",4,"very disappointed, product looks nothing like the pictures",NEGATIVE,0.9996
394,PROD_409,"Decent product, shipping was slow though",5,"decent product, shipping was slow though",NEGATIVE,0.988
395,PROD_465,"Not bad not great, somewhere in the middle i think",2,"not bad not great, somewhere in the middle i think",NEGATIVE,0.9925
396,PROD_317,   Super fast delivery and product quality is top notch!!   ,1,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
397,PROD_987,"<br>I love this so much, exceeded my expectations completely<br>",5,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
398,PROD_826,<br>Amazing value for money. Really impressed with the build quality<br>,1,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
399,PROD_989,Do not buy this!! total waste of time and money  ,1,do not buy this!! total waste of time and money,NEGATIVE,0.9998
400,PROD_518, &nbsp; Packaging was great and product works flawlessly &nbsp; ,2,packaging was great and product works flawlessly,POSITIVE,0.9999
401,PROD_315,"   Really good product, will definitely recommend to friends   ",3,"really good product, will definitely recommend to friends",POSITIVE,0.9999
402,PROD_880,"Average quality for the price, expected a bit more",5,"average quality for the price, expected a bit more",NEGATIVE,0.9857
403,PROD_679,"Worst product i have ever bought, avoid at all costs<p>",5,"worst product i have ever bought, avoid at all costs",NEGATIVE,0.9998
404,PROD_422,   Love the design and it works exactly as described   ,3,love the design and it works exactly as described,POSITIVE,0.9999
405,PROD_294,   10/10 would buy again. customer service was also helpful   ,1,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
406,PROD_269,It works but nothing to write home about really,1,it works but nothing to write home about really,NEGATIVE,0.9941
407,PROD_360,"   Great quality, fast shipping. Will buy again!!   ",3,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
408,PROD_223,"  
  <p>Excellent product</p> highly recommended to everyone  
  ",3,excellent product highly recommended to everyone,POSITIVE,0.9998
409,PROD_553,Waste of money!! stopped working after one week</p>,5,waste of money!! stopped working after one week,NEGATIVE,0.9998
410,PROD_895,"   Works perfectly fine, very happy with this purchase &amp;   ",5,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
411,PROD_213,"Product is okay, nothing special but does the job",5,"product is okay, nothing special but does the job",POSITIVE,0.9979
412,PROD_214,"   I love this so much, exceeded my expectations completely   ",2,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
413,PROD_965,"Horrible experience, packaging was damaged and product broken  ",3,"horrible experience, packaging was damaged and product broken",NEGATIVE,0.9998
414,PROD_388,"Decent product, shipping was slow though",3,"decent product, shipping was slow though",NEGATIVE,0.988
415,PROD_191,"Not bad not great, somewhere in the middle i think",1,"not bad not great, somewhere in the middle i think",NEGATIVE,0.9925
416,PROD_780,"  
  Really good product, will definitely recommend to friends  
  ",5,"really good product, will definitely recommend to friends",POSITIVE,0.9999
417,PROD_444,"Okay product, will see how long it lasts",5,"okay product, will see how long it lasts",POSITIVE,0.8317
418,PROD_766,"Worst product i have ever bought, avoid at all costs&amp;",4,"worst product i have ever bought, avoid at all costs",NEGATIVE,0.9998
419,PROD_656,<br>Love the design and it works exactly as described<br>,2,love the design and it works exactly as described,POSITIVE,0.9999
420,PROD_634,<br>10/10 would buy again. customer service was also helpful<br>,2,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
421,PROD_536,<br>This product is absolutely amazing! Loved every bit of it 😍<br>,2,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
422,PROD_817,"Average quality for the price, expected a bit more",5,"average quality for the price, expected a bit more",NEGATIVE,0.9857
423,PROD_323,"Very disappointed, product looks nothing like the pictures&amp;",5,"very disappointed, product looks nothing like the pictures",NEGATIVE,0.9996
424,PROD_332,Waste of money!! stopped working after one week<p>,1,waste of money!! stopped working after one week,NEGATIVE,0.9998
425,PROD_799," &nbsp; Works perfectly fine, very happy with this purchase &amp; &nbsp; ",5,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
426,PROD_566,Arrived broken and customer support was useless 😤</p>,2,arrived broken and customer support was useless,NEGATIVE,0.9998
427,PROD_930," &nbsp; I love this so much, exceeded my expectations completely &nbsp; ",4,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
428,PROD_136,"Horrible experience, packaging was damaged and product broken</p>",5,"horrible experience, packaging was damaged and product broken",NEGATIVE,0.9998
429,PROD_963,Do not buy this!! total waste of time and money  ,4,do not buy this!! total waste of time and money,NEGATIVE,0.9998
430,PROD_291,<br>Packaging was great and product works flawlessly<br>,1,packaging was great and product works flawlessly,POSITIVE,0.9999
431,PROD_985,"Disappointed with the product, not as described at all<p>",1,"disappointed with the product, not as described at all",NEGATIVE,0.9998
432,PROD_309,"  
  Outstanding quality, arrived on time and works perfectly  
  ",2,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
433,PROD_786,"Its fine i guess, works as expected nothing more",5,"its fine i guess, works as expected nothing more",POSITIVE,0.9946
434,PROD_326,<br>Love the design and it works exactly as described<br>,4,love the design and it works exactly as described,POSITIVE,0.9999
435,PROD_128,"Not recommended at all, save your money for something better&amp;",3,"not recommended at all, save your money for something better",NEGATIVE,0.9997
436,PROD_978,It works but nothing to write home about really,3,it works but nothing to write home about really,NEGATIVE,0.9941
437,PROD_637,"<br>Great quality, fast shipping. Will buy again!!<br>",2,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
438,PROD_615,   <p>Excellent product</p> highly recommended to everyone   ,1,excellent product highly recommended to everyone,POSITIVE,0.9998
439,PROD_138,   5 stars!! best purchase i made this year   ,5,5 stars!! best purchase i made this year,POSITIVE,0.9995
440,PROD_899,"Poor quality, feels very cheap. Not worth it at all  ",2,"poor quality, feels very cheap. not worth it at all",NEGATIVE,0.9998
441,PROD_121,Arrived broken and customer support was useless 😤  ,3,arrived broken and customer support was useless,NEGATIVE,0.9998
442,PROD_481,"   I love this so much, exceeded my expectations completely   ",4,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
443,PROD_120,   Amazing value for money. Really impressed with the build quality   ,5,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
444,PROD_758,Do not buy this!! total waste of time and money</p>,1,do not buy this!! total waste of time and money,NEGATIVE,0.9998
445,PROD_356,<br>Packaging was great and product works flawlessly<br>,2,packaging was great and product works flawlessly,POSITIVE,0.9999
446,PROD_626,It works but nothing to write home about really,2,it works but nothing to write home about really,NEGATIVE,0.9941
447,PROD_892,"  
  Outstanding quality, arrived on time and works perfectly  
  ",4,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
448,PROD_307,"Worst product i have ever bought, avoid at all costs  ",3,"worst product i have ever bought, avoid at all costs",NEGATIVE,0.9998
449,PROD_529,"Neither good nor bad, just an okay product overall",1,"neither good nor bad, just an okay product overall",NEGATIVE,0.9634
450,PROD_408,Meets basic requirements but quality could be better,3,meets basic requirements but quality could be better,NEGATIVE,0.9616
451,PROD_298,"Product is okay, nothing special but does the job",3,"product is okay, nothing special but does the job",POSITIVE,0.9979
452,PROD_792,<b>Worst purchase ever</b> do not buy this garbage  ,4,worst purchase ever do not buy this garbage,NEGATIVE,0.9995
453,PROD_657,"Its fine i guess, works as expected nothing more",1,"its fine i guess, works as expected nothing more",POSITIVE,0.9946
454,PROD_372,<br>5 stars!! best purchase i made this year<br>,4,5 stars!! best purchase i made this year,POSITIVE,0.9995
455,PROD_777,"   Works perfectly fine, very happy with this purchase &amp;   ",1,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
456,PROD_600, &nbsp; Super fast delivery and product quality is top notch!! &nbsp; ,5,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
457,PROD_494,"Complete scam, returned it immediately. 0 stars  ",5,"complete scam, returned it immediately. 0 stars",NEGATIVE,0.796
